BIBID,TITLE,VOLUMES,CREATOR_ROLE,CREATOR_FNAME,CREATOR_LNAME,CREATOR_CNAME,SOURCE,SIGLUM,ADJUNCT_ROLE,ADJUNCT_FNAME,ADJUNCT_LNAME,ADJUNCT_CNAME,SERIES,PUBLISHER,PUBLISHER_LOC,PUBLISHED_BD,PUBLISHED_ED,PUBLISHED_NOTE,VOLUME,ISSUE_EDITION,LOCATION_CLASS,LOCATION,REPRINT,ID_CLASS,ID_NUMBER,CLASS,FORM,TYPE,MEDIUM,FORMAT,RELATED_LIBID,RELATED_LIBIDQ,RELATED_LIBCOLLECTION,RELATED_LIBCALLNO,RELATED_LIBBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,STATUS,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BITECA bibid 3805,"Si be, yo crech, la veritat sentiu [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Rodrigo,Díeç,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-21,AVENOZA,2011-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/50.3.htm,,,"Díeç et al. (2008), “Si be, yo crech, la veritat sentiu [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3806,"O tu, traydor, qui tan sovint renegues [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Arnau d’,Erill,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,1999,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-21,AVENOZA,2011-08-23,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/52.1.htm,,,"Erill et al. (1999), “O tu, traydor, qui tan sovint renegues [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3807,De moltas bondats yo us vetg habundosa [text electrònic a internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Pere,Torroella,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,1986,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-21,AVENOZA,2011-08-21,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/180.8.htm,,,"Torroella et al. (2008-1986), “De moltas bondats yo us vetg habundosa [text electrònic a internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3808,En be fort punt suy entrat en la setla [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Jaume,Escrivà,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2000,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-21,AVENOZA,2011-08-21,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/53.2.htm,,,"Escrivà et al. (2000), “En be fort punt suy entrat en la setla [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3809,Pus que demendat m’avets [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Jaume,Escrivà,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2000,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-21,AVENOZA,2011-08-23,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/53.3.htm,,,"Escrivà et al. (2000), “Pus que demendat m’avets [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3810,Passant jo per l’ancontrada [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Joan,Escrivà,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-21,AVENOZA,2011-08-23,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/54.1.htm,,,"Escrivà et al. (2008), “Passant jo per l’ancontrada [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3811,Les Caterines [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Joan,Escrivà,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,1999,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-21,AVENOZA,2011-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/54.2.htm,,,"Escrivà et al. (1999), “Les Caterines [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3812,Lo gran estat de vostre alt linatge [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Mateu,Esteve,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/57.1.htm,,,"Esteve et al. (2008), “Lo gran estat de vostre alt linatge [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3813,"Ay! cors avar, scas, richs de merce [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-22,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.1.htm,,,"Febrer et al. (2008), “Ay! cors avar, scas, richs de merce [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3814,"Amors, qui tost fer, quan li play [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-22,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.2.htm,,,"Febrer et al. (2008), “Amors, qui tost fer, quan li play [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3815,Are·m platz be com l’afan e·l martire [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2012-01-28,App Service - MCR,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.3.htm,,,"Febrer et al. (2008), “Are·m platz be com l’afan e·l martire [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3816,"Combas e valhs, puigs, muntanyes e colhs [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-23,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.4.htm,,,"Febrer et al. (2008), “Combas e valhs, puigs, muntanyes e colhs [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3817,Del cor preyon me parton li sospir [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.5.htm,,,"Febrer et al. (2008), “Del cor preyon me parton li sospir [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3818,Del tot me cuidave lexar [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-21,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.6.htm,,,"Febrer et al. (2008), “Del tot me cuidave lexar [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3819,"Doloros critz ab votz brava, terribla [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-23,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.7.htm,,,"Febrer et al. (2008), “Doloros critz ab votz brava, terribla [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3820,"Sey’En Bernat, volgre·m costes I march [text electrònic a internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Jaume,March,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2012-01-28,App Service - MCR,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/95.7bis.htm,,,"March et al. (2008), “Sey’En Bernat, volgre·m costes I march [text electrònic a internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3821,"Dompna, lo jorn qu’yeu me perti de vos [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-22,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.8.htm,,,"Febrer et al. (2008), “Dompna, lo jorn qu’yeu me perti de vos [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3822,"E lhas, amors! Ten pauch vos cal de me [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,1999,,,,,BIBLIOGRAPHY*LOCATION_CLASS*PAGE,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.9.htm,,,"Febrer et al. (1999), “E lhas, amors! Ten pauch vos cal de me [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3823,Ja per dir vos mon cor e mon talan [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-22,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.11.htm,,,"Febrer et al. (2008), “Ja per dir vos mon cor e mon talan [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3824,"Las, a qui dire ma langor [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-23,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.12.htm,,,"Febrer et al. (2008), “Las, a qui dire ma langor [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3825,Lo fol desir qu’Amor ha fayt intrar [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-22,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.13.htm,,,"Febrer et al. (2008), “Lo fol desir qu’Amor ha fayt intrar [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3826,Pus qu’estorts suy del lach de la mar fonda [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-23,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.14.htm,,,"Febrer et al. (2008), “Pus qu’estorts suy del lach de la mar fonda [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3827,Si’n lo mon fos gentilesa perduda [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-23,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.15.htm,,,"Febrer et al. (2008), “Si’n lo mon fos gentilesa perduda [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3828,Sobre·l pus naut alament de tots quatre [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Andreu,Febrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,1999,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2012-01-28,App Service - MCR,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/59.16.htm,,,"Febrer et al. (1999), “Sobre·l pus naut alament de tots quatre [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3829,Diversament un [bell] nom se recita [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Bernat,Fenollar,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-21,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/60.7.htm,,,"Fenollar et al. (2008), “Diversament un [bell] nom se recita [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3830,Callen aquells abseguats per amor [text electrònic a internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Pere,Torroella,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-21,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/180.5.htm,,,"Torroella et al. (2008), “Callen aquells abseguats per amor [text electrònic a internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3831,"Reproducció parcial del ms. Inq. Val. leg. 535, n{SS}o{ES} 5. fr. salms de l’Archivo Histórico de Madrid. Baro (Rafael)",,,,,,,,,,,,,,,2009,,,,,,,,,,,BIBLIOGRAPHY*FORM*CODX,BIBLIOGRAPHY*TYPE*TEXT,BIBLIOGRAPHY*MEDIUM*PFAC,,BITECA libid 1214,,,Biteca 20R-19,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2009-05-19,ROVIRA,,,,,"Reproducció parcial del ms. Inq. Val. leg. 535, n{SS}o{ES} 5. fr. salms de l’Archivo Histórico de Madrid. Baro (Rafael) (2009)"
BITECA bibid 3832,Ab dubte veg [que] puscha viure [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Francesc,Ferrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-22,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/61.1.htm,,,"Ferrer et al. (2008), “Ab dubte veg [que] puscha viure [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3833,"Despit, treball, enug [e] dol [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Francesc,Ferrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/61.1a.htm,,,"Ferrer et al. (2008), “Despit, treball, enug [e] dol [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3834,Arbitr’es gran levar juhi [text electrònic a Internet],,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Francesc,Ferrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-20,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/61.2.htm,,,"Ferrer et al. (2008), “Arbitr’es gran levar juhi [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
BITECA bibid 3835,"De cert vos dich, si m’a durar [text electrònic a Internet]",,BIBLIOGRAPHY*CREATOR_ROLE*AUTH,Francesc,Ferrer,,RIALC (Repertorio informatizzato della antica lirica catalana),,BIBLIOGRAPHY*ADJUNCT_ROLE*COMP,Costanzo,Di Girolamo,,,,Napoli,2008,,,,,,,,,,,BIBLIOGRAPHY*FORM*BART,BIBLIOGRAPHY*TYPE*EDTN,BIBLIOGRAPHY*MEDIUM*WEB,,,,,,,,,,,,,,,,,,,,,,,BIBLIOGRAPHY*STATUS*1C,1980-01-25,AVENOZA,2011-08-21,AVENOZA,UNIVERSAL*INTERNET_CLASS*URL,http://www.rialc.unina.it/61.3.htm,,,"Ferrer et al. (2008), “De cert vos dich, si m’a durar [text electrònic a Internet]”, RIALC (Repertorio informatizzato della antica lirica catalana)"
