MANID,TITLE,TITLE_LOC,TITLE_NICKNAME,MATERIAL,MATERIAL_BASIS,FORMAT,FORMAT_BASIS,STATE,STATE_BASIS,BINDING,BINDING_BASIS,CONDITION,CONDITION_BASIS,LEAF_CLASS,LEAF_COUNT,LEAF_BASIS,COLLATION,COLLATION_BASIS,SIZE_CLASS,SIZE_HEIGHT,SIZE_WIDTH,SIZE_LOC,SIZE_BASIS,PAGE_CLASS,PAGE_DETAIL,PAGE_LOC,PAGE_Q,PAGE_BASIS,HAND_CLASS,HAND_DETAIL,HAND_LOC,HAND_Q,HAND_BASIS,FONT_CLASS,FONT_DETAIL,FONT_LOC,FONT_Q,FONT_BASIS,WATERMARK_CLASS,WATERMARK_DETAIL,WATERMARK_LOC,WATERMARK_Q,WATERMARK_BASIS,GRAPHIC_CLASS,GRAPHIC_DETAIL,GRAPHIC_LOC,GRAPHIC_Q,GRAPHIC_BASIS,MUSIC_CLASS,MUSIC_DETAIL,MUSIC_LOC,MUSIC_Q,MUSIC_BASIS,FEATURE_CLASS,FEATURE_DETAIL,FEATURE_LOC,FEATURE_Q,FEATURE_BASIS,MILESTONE_CLASS,MILESTONE_DETAIL,MILESTONE_MAKER_IDP,MILESTONE_MAKER_ID,MILESTONE_MAKER_IDQ,MILESTONE_MAKERBASIS,MILESTONE_FUNDER_IDP,MILESTONE_FUNDER_ID,MILESTONE_FUNDER_IDQ,MILESTONE_FUNDERBASIS,MILESTONE_GEOID,MILESTONE_GEOIDQ,MILESTONE_GEOBASIS,MILESTONE_BD,MILESTONE_BDQ,MILESTONE_ED,MILESTONE_EDQ,MILESTONE_BASIS,OWNER_IDP,OWNER_ID,OWNER_IDQ,OWNER_CALLNO,OWNER_ARMS,OWNER_PRICE,OWNER_CURRENCY,OWNER_GEOID,OWNER_GEOIDQ,OWNER_BD,OWNER_BDQ,OWNER_ED,OWNER_EDQ,OWNER_BASIS,CLASS,FIRST_ANAID,FIRST_TEXSEQ,FIRST_TEXID,RELATED_BIOCLASS,RELATED_BIODETAIL,RELATED_BIOID,RELATED_BIOIDQ,RELATED_BIOBD,RELATED_BIOBDQ,RELATED_BIOED,RELATED_BIOEDQ,RELATED_BIOBASIS,RELATED_LIBID,RELATED_LIBIDQ,RELATED_LIBCOLLECTION,RELATED_LIBCALLNOCLASS,RELATED_LIBCALLNO,RELATED_LIBSEQUENCE,RELATED_LIBBASIS,RELATED_LIBEVENTCLASS,RELATED_LIBEVENTDETAIL,RELATED_LIBEVENTPRICE,RELATED_LIBEVENTCURRENCY,RELATED_LIBEVENTGEOID,RELATED_LIBEVENTGEOIDQ,RELATED_LIBEVENTBD,RELATED_LIBEVENTBDQ,RELATED_LIBEVENTED,RELATED_LIBEVENTEDQ,RELATED_LIBEVENTBASIS,RELATED_BIBCLASS,RELATED_BIBID,RELATED_BIBVOL,RELATED_BIBLOC,RELATED_BIBITEM,RELATED_MANCLASS,RELATED_MANID,RELATED_MANVOL,RELATED_MANLOC,RELATED_MANITEM,RELATED_UNICLASS,RELATED_UNIDETAIL,RELATED_UNIID,RELATED_UNILANGUAGE,RELATED_UNIBASIS,SUBJECT_BIOID,SUBJECT_GEOID,SUBJECT_INSID,SUBJECT_SUBID,PERIOD_BD,PERIOD_BDQ,PERIOD_ED,PERIOD_EDQ,PERIOD_BASIS,NOTES,VERIFY,STATUS,ENTERED,ENTERED_BY,UPDATED,UPDATED_BY,INTERNET_CLASS,INTERNET_ADDRESS,INTERNET_SERVICE,INTERNET_LASTSEEN,MONIKER
BETA manid 2951,,,,,,,,,,,,,,MS_ED*LEAF_CLASS*FF,183,Pérez Llamazares,,,MS_ED*SIZE_CLASS*LEAF,220,151,f. 19,Faulhaber 2015,,,,,,MS_ED*HAND_CLASS*GO,"formada 1491 ca. - 1510 ca,","marg.: 28r, 50v, 51r",,Faulhaber 2011,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 2,,,,Group 2,,,,,,,1401,,1500,,Pérez Llamazares 1923,Group 2,BETA bioid 7132,,,,,,,,,,,,Faulhaber 2015: ex-libris f. 130v,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*A,51,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1073,,54-55,LI,,,,,,,,,,,,,BETA insid 5330,BETA subid 1121,,,,,,,,,,,,,,,,,
BETA manid 2951,,,,,,,,,,,,,,MS_ED*LEAF_CLASS*FF,71,Cátedra 2002,,,,,,,,,,,,,MS_ED*HAND_CLASS*GC,"1491 ca. - 1510 ca,","marg. 27v-28r, 29r",,Faulhaber 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIS,BETA bibid 6681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 2951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*DES,BETA bibid 8832,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 2952,,,,MS_ED*MATERIAL*PAPER,Högberg 1919,MS_ED*FORMAT*4SSOES,Högberg,,,,,,,MS_ED*LEAF_CLASS*FF,51,,,,MS_ED*SIZE_CLASS*LEAF,230,170,,Fallows 1994,,,,,,MS_ED*HAND_CLASS*CU,,1-28,,Fallows 1994,,,,,,MS_ED*WATERMARK_CLASS*OVAL,"puntiagudo con cruz, con “L P”",-29,,Briquet 5695 [1560],,,,,,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 1,,,,Group 1,,,,,,,1561,ca.,1570,ca.,filigranas,,,,,,,,,,,,,,,,BETA cnum 3635,20.0,BETA texid 1650,,,,,,,,,,BETA libid 157,,Gaml. Kongl. Saml.,MS_ED*RELATED_LIBCALLNOCLASS*C,2219,MA02000,,MS_ED*RELATED_LIBEVENTCLASS*A,,,,,,1787,ad quem,,,REX cat.,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 8048,,166-67,11,,,,,,MS_ED*RELATED_UNICLASS*CON,también ff. 29r-40v fragm. de elegías en,,MS_ED*RELATED_UNILANGUAGE+1*LATIN,,,,,BETA subid 1091,,,,,,"Faulhaber 2019: es posible que este MS haya sido desgajado de un MS facticio. Nótese la descr. en el {I}Catalogus{/I} de Cornelius Lerche 1682:166-67): “ 11 Hieron. Munnoz Explicatio en Plin. Secundum. | Alii Tractatus Critici. | Unus del Titulo de Duque’.’<br /><br />El MS de Plinio está actualmente en Kobenhavn: Arnamagnæanske Samling, AM 812 4to: “Plinii secundi de naturali historia secundi libri enarratio”<br /><br />",,MS_ED*STATUS*2I,1985-07-10,FAULHABER,2023-04-20,FAULHABER,,,,,"MS: Kobenhavn: Kongelige (Gaml. Kongl. Saml.), 2219. 1561 ca. - 1570 ca. Juan de Mena X, bachiller Madrid, [Tratado sobre el título de duque], escrito 1445?."
BETA manid 2952,,,,,,,,,,,,,,MS_ED*LEAF_CLASS*FF,"49 (en blanco 10r, 15, 28, 41, 43, 45, 48)",Fallows 1994,,,,,,,,,,,,,MS_ED*HAND_CLASS*CU,descuidada,29-40v,,Fallows 1994,,,,,,MS_ED*WATERMARK_CLASS*CIRC,con cruz,29-,,Briquet 1242 [1566],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*DES,BETA bibid 3538,,1109-11,,,,,,,MS_ED*RELATED_UNICLASS*CON,también en los ff. 42r-49v parte de un tratado geográfico ¿pos-medieval? en,,MS_ED*RELATED_UNILANGUAGE+1*CASTELLANO,,,,,,,,,,,,,,,,,,,,,,
BETA manid 2952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*DES,BETA bibid 1271,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 2952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1776,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 2952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BETA bibid 4963,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 2952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3020,OPUSCULA | Varia. | M.SS. | Tom. 8,lomo,,MS_ED*MATERIAL*PAPER,,MS_ED*FORMAT*FOLIO,,,,perg. con correíllas,Sáez 2002,"parte deteriorada por tinta ferrosa, ff. 197 y 198 mal encuadernados, ff. 58r, 58v, 121v-124v y 133r en blanco, fol. mod. a a lápiz",Sáez 2002,MS_ED*LEAF_CLASS*FF,1 + 1-198 + 1,Faulhaber,1{SS}10{ES} 2-12{SS}12{ES} 13{SS}12(-1){ES} 14-15{SS}14{ES} 16{SS}16{ES},Sáez 2002,MS_ED*SIZE_CLASS*LEAF,283,212,,Sáez 2002,MS_ED*PAGE_CLASS*COL,2,,,Sáez 2002,MS_ED*HAND_CLASS*GC,,81vb-87vb,,Faulhaber,,,,,,MS_ED*WATERMARK_CLASS*MONTE,de 3 cumbres,"ff. 1-3, 5",,,MS_ED*GRAPHIC_CLASS*INIS,espacios en blanco,ff. 1-54,,Sáez 2002,,,,,,MS_ED*FEATURE_CLASS*CWS,horizontales,margen inferior derecho del v. del último fol. de algunos cuadernos,,Sáez 2002,MS_ED*MILESTONE_CLASS*W,,Group 1,,,,Group 1,,,,,,,1455,a quo?,1500,ca.,,,,,,,,,,,,,,,,MS_ED*CLASS*COMP,BETA cnum 3750,80.0,BETA texid 1975,,,,,,,,,,BETA libid 334,,,MS_ED*RELATED_LIBCALLNOCLASS*C,5-5-27,MA050527,Sáez 2002,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIS,BETA bibid 2356,,,,,,,,,MS_ED*RELATED_UNICLASS*CON,también 11 textos en,,MS_ED*RELATED_UNILANGUAGE+1*LATIN,,,,,,,,,,,,COLLATION,MS_ED*STATUS*1C,1985-07-10,FAULHABER,2023-04-20,FAULHABER,,,,,"MS: Sevilla: Colombina, 5-5-27. 1455 a quo? - 1500 ca. Juan Martínez de Almazán, bachiller, Tratado de confesión, escrito 1415 a quo - 1435 ad quem."
BETA manid 3020,,,,,,,,,,,,,,MS_ED*LEAF_CLASS*FF,198,Sáez 2002,,,MS_ED*SIZE_CLASS*BIND,293,230,,Faulhaber,MS_ED*PAGE_CLASS*LIN,38 / 42,,,Sáez 2002,,,,,,,,,,,MS_ED*WATERMARK_CLASS*BOW,,"ff. 40, 43, 46",,,MS_ED*GRAPHIC_CLASS*RUB,en rojo,ff. 1-54,,Sáez 2002,,,,,,MS_ED*FEATURE_CLASS*RU,a punta de plomo y tinta,,,Sáez 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,BB-150-8,,,,,,,,,,,,,,,BETA bibid 1673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*WATERMARK_CLASS*STAR,de 5 puntas en círculo,"ff. 50, 52",,cf. Briquet 6067-6068 [1422-40],MS_ED*GRAPHIC_CLASS*PARR,en rojo,ff. 1-54,,Sáez 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*R,R-5676,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*DES,BETA bibid 4178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*WATERMARK_CLASS*ESC,de Valencia con corona,"ff. 79, 82, 84",,,MS_ED*GRAPHIC_CLASS*INIS,espacios en blanco con iniciales en minúscula de la letra de aviso,ff. 59-121,,Sáez 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 4440,,290-93,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*WATERMARK_CLASS*FLOR,con tallo y 2 hojas,f. 87,,,MS_ED*GRAPHIC_CLASS*INIS,"violetas y rojas, alternando",ff. 125-,,Sáez 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delfín ?,"ff. 89, 94",,,MS_ED*GRAPHIC_CLASS*PARR,en rojo,ff. 125-,,Sáez 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*WATERMARK_CLASS*CARR,de 2 ruedas,"ff. 141, 183, 184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*WATERMARK_CLASS*BELL,,"ff. 178, 181, 185, 187, 188, 190, 192, 195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3069,,,,MS_ED*MATERIAL*PAPER,{I}IGM{/I},,,,,holandesa: papel verde jaspeado con lomo de tafilete avellana,Gómez Moreno,,,MS_ED*LEAF_CLASS*FF,3 (guardas) + 1-53 + 5 (guardas),{I}IGM{/I},1-4{SS}12{ES} 5{SS}6{ES},Faulhaber,MS_ED*SIZE_CLASS*LEAF,222,150,,{I}IGM{/I},,,,,,MS_ED*HAND_CLASS*GC,,,,Gómez Moreno,,,,,,MS_ED*WATERMARK_CLASS*MANO,con estrella,,,Faulhaber,MS_ED*GRAPHIC_CLASS*INI,roja de 3 ll.,f. 2r,,Faulhaber,,,,,,MS_ED*FEATURE_CLASS*CWS,"horizontales centrados, el último (f. 49v) resaltado de rojo","13v, 25v, 37v, 49v",,Faulhaber,MS_ED*MILESTONE_CLASS*W,,Group 1,,,,Group 1,,,,,,,1451,ca.,1500,ca.,,Group 1,BETA insid 1059,?,,,,,,,,,,,encuad.,,BETA cnum 3832,10.0,BETA texid 2553,,,,,,,,,,BETA libid 225,,,MS_ED*RELATED_LIBCALLNOCLASS*C,MSS/4283,MA225100,,MS_ED*RELATED_LIBEVENTCLASS*A,,,,,,1753,?,,,Andrés,MS_ED*RELATED_BIBCLASS*CFR,BETA bibid 7689,II,,,,,,,,MS_ED*RELATED_UNICLASS*CON,también f. 1r-v un poema sobre Tobías en,,MS_ED*RELATED_UNILANGUAGE+1*LATIN,{I}IGM{/I},BETA bioid 7812,,,BETA subid 1265,,,,,,"Faulhaber 2018: fol. antigua j-lij en el marg. inferior, que corresponde a la fol. 2-53 actual a lápiz en la esq. superior derecha.<br /><br />Contiene un fragmento en latín del {I}Tobias{/I} de Mateo de Vendôme, uno de los llamados 'auctores octo' o “libri minores” utilizados en la enseñanza del latín:<br /><br />f. 1r-v: “pau{I}per{/I}ies mis{I}er{/I}o condolet alma fides … dum puer accellerat pat{I}r{/I}{SS}i{ES} parere . platea",,MS_ED*STATUS*1C,1986-06-26,MORENO,2023-04-18,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://www.bne.es/es/Micrositios/Guias/Inventario_Manuscritos/resources/docs/invgenmss10x1x.pdf#page=329,BNE {I}IGM{/I},2018-03-25,"MS: Madrid: Nacional (BNE), MSS/4283. 1451 ca. - 1500 ca. Vicent Ferrer, Sermón del viernes de la Cruz (tr. Desconocido), traducido 1500 ca. ad quem."
BETA manid 3069,,,,,,,,,,,,,,,,,,,MS_ED*SIZE_CLASS*TXTPG,141,105,3r,Faulhaber,,,,,,,,,,,,,,,,MS_ED*WATERMARK_CLASS*HEAD,de mujer,,,Faulhaber,MS_ED*GRAPHIC_CLASS*PARR,en rojo,,,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,4283,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*FAD,BETA bibid 5461,,,MSS/4283,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://bdh-rd.bne.es/viewer.vm?id=0000100522&page=1,Bibl. Digital Hispánica,2018-03-25,
BETA manid 3069,,,,,,,,,,,,,,,,,,,MS_ED*SIZE_CLASS*BIND,230,162,,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,P-130,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 5020,,,MSS/4283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIFD,BETA bibid 7566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIS,BETA bibid 2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIS,BETA bibid 1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1004,X,322,4283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CFR,BETA bibid 5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3081,COPIL | DE LOS | FUERO | DE ARA,tejuelo,,MS_ED*MATERIAL*PAPER,{I}IGM{/I},,,,,"pasta moteada con hierros dorados en el lomo y guardas de papel de aguas, ¿s. XVIII?",Faulhaber,"En blanco las h. 23v-28v, 46-47, 51r-v, 55v",Faulhaber,MS_ED*LEAF_CLASS*FF,4 (guardas) + 1-62 + 2 (guardas),Faulhaber,,,MS_ED*SIZE_CLASS*LEAF,303,205,,{I}IGM{/I},,,,,,MS_ED*HAND_CLASS*IT,cursiva (s. XVII),1r-23v,,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 1,,,,Group 1,,,,,,,1601,,1700,,Faulhaber: ff. 1-23,Group 1,BETA insid 5494,,,,,,,,,,,,Faulhaber: ex-libris impreso s. XVII (guarda),MS_ED*CLASS*COMP,BETA cnum 3847,10.0,BETA texid 1192,,,,,,,,,,BETA libid 225,,,MS_ED*RELATED_LIBCALLNOCLASS*C,MSS/7391,MA263200,,,,,,,,,,,,,,BETA bibid 4646,,209,,,,,,,MS_ED*RELATED_UNICLASS*CON,textos en,,MS_ED*RELATED_UNILANGUAGE+1*LATIN,{I}IGM{/I},,,,BETA subid 1265,,,,,,"Faulhaber 2018: MS facticio, ff. 1-28, 29-47, 48-<br /><br />El f. 48r-v contiene una serie de “Dudas” en castellano, inc. “Dento q̃ tp̃o se ha de ꝓueher el appellido …” De la misma letra aparece una serie de “Aduertençias” ff. 49r-50v<br /><br />Descr. BNE Cat.:<br /><br />Título uniforme: Fueros de Aragón<br />Título: Papeles referentes a los Fueros y Observancias del Reino de Aragón [Manuscrito]<br />Publicación: S.XVI-XVII<br />Descripción física: 62 h. ; 31 × 22 cm<br />Nota general: Manuscritos e impresos<br />Nota general: Ex libris del Duque de Híjar<br />Nota de procedencia: Duque de Híjar<br />N. área desc. fis.: En blanco las h. 23v-28, 46-47 y 51v,<br /><br />Descr. {I}IGM{/I}:<br /><br />{I}Papeles varios en latín referentes a los Fueros y Observancias del Reino de Aragón{/I}.—S. XVI y XVII, papel, 305 × 205 mm., 62 ff.<br />Al final (ff. 54-55) un impreso de Vidal Cañellas, {I}In excelsis Dei Thesaurus{/I} (prólogo, impreso del siglo XVII); sigue (ff. 56-62) un fragmento de {I}Fori regni Aragonum{/I} [Caesaraugustae, Paulus Hurus et Henricus Botel, 1477, ff XXI. CXIX. XXII-XVI de la edición incunable] (cf Vindel, IV, 3. Haebler n. 278. GW n. 10174).<br />Pos.: Duque de Híjar, cuyo ex libris lleva. ARCO, {I}Mss. de Aragón{/I}, p. 295. R. UREÑA Y<br />SMENJAUD, en {I}RABM{/I}. 4 (1900), p. 209.",,MS_ED*STATUS*2I,1986-06-27,FAULHABER,2023-04-08,FAULHABER,UNIVERSAL*INTERNET_CLASS*URL,http://www.bne.es/es/Micrositios/Guias/Inventario_Manuscritos/resources/docs/invgenmss12x1x.pdf#page=88,BNE {I}IGM{/I},2018-07-09,"MS: Madrid: Nacional (BNE), MSS/7391. 1601 - 1700. Vidal de Canyelles, obispo de Huesca… Fueros de Aragón, escrito 1247."
BETA manid 3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*HAND_CLASS*IT,cursiva (s. XVI),29r-45v,,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*MILESTONE_CLASS*W,,Group 2,,,,Group 2,,,,,,,1551,ca.,1600,ca.,Faulhaber: ff. 29r-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,7391,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 5163,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSAL*INTERNET_CLASS*URL,http://bdh-rd.bne.es/viewer.vm?id=0000145363&page=1,Bibl. Digital Hispánica,2018-07-09,
BETA manid 3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*HAND_CLASS*IT,cursiva (s. XVII),48r-50v,,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_LIBCALLNOCLASS*F,T-327,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*FAD,BETA bibid 5461,,,MSS/7391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*HAND_CLASS*IT,cursiva (s. XVII),52r-53v,,Faulhaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIS,BETA bibid 4470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*VIS,BETA bibid 1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 1004,XII,84,7391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETA manid 3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS_ED*RELATED_BIBCLASS*CAT,BETA bibid 5020,,,MSS/7391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
