,GEOID,TYPE,MONIKER,INTERNET_ADDRESS,
623,BETA geoid 1517,GEOGRAPHY*TYPE*B,La Higueruela (campo de batalla),,
624,BETA geoid 1518,GEOGRAPHY*TYPE*T,Ciudad Rodrigo,,
625,BETA geoid 1519,GEOGRAPHY*TYPE*T,Huelma,https://www.wikidata.org/wiki/Q1641746,
627,BETA geoid 1519,,,https://es.wikipedia.org/wiki/Condado_de_Huelma,
,BETA geoid 1520,,,https://www.wikidata.org/wiki/Q1764548,
628,BETA geoid 1520,GEOGRAPHY*TYPE*B,Olmedo,https://es.wikipedia.org/wiki/Batalla_de_Olmedo_(1445),
630,BETA geoid 1521,GEOGRAPHY*TYPE*T,Munébrega,,
631,BETA geoid 1522,GEOGRAPHY*TYPE*EN,Alfambra (encomienda),,
632,BETA geoid 1523,GEOGRAPHY*TYPE*T,Amposta,,
633,BETA geoid 1524,GEOGRAPHY*TYPE*T,Crécy,,
634,BETA geoid 1525,GEOGRAPHY*TYPE*T,Guadalest,,
635,BETA geoid 1526,GEOGRAPHY*TYPE*T,Nicosia,,
636,BETA geoid 1527,GEOGRAPHY*TYPE*I,Cyprus (isla),,
637,BETA geoid 1528,GEOGRAPHY*TYPE*T,Hira,,
638,BETA geoid 1529,GEOGRAPHY*TYPE*T,Baghdad,,
639,BETA geoid 1530,GEOGRAPHY*TYPE*K,Persia (reino),,
640,BETA geoid 1531,GEOGRAPHY*TYPE*R,Apulia (región),,
641,BETA geoid 1532,GEOGRAPHY*TYPE*T,Taranto,,
642,BETA geoid 1533,GEOGRAPHY*TYPE*B,"Olmedo, real sobre (campo de batalla)",,
643,BETA geoid 1534,GEOGRAPHY*TYPE*T,Villamartín,https://database.factgrid.de/wiki/Item:Q806479,
644,BETA geoid 1535,GEOGRAPHY*TYPE*T,Villafáfila,,
645,BETA geoid 1536,GEOGRAPHY*TYPE*T,Montánchez,,
646,BETA geoid 1537,GEOGRAPHY*TYPE*T,Torrebuceit,,
647,BETA geoid 1538,GEOGRAPHY*TYPE*P,Cáceres (provincia),,
648,BETA geoid 1539,GEOGRAPHY*TYPE*T,Dosbarrios,,
649,BETA geoid 1540,GEOGRAPHY*TYPE*EN,Cazalla (encomienda),https://database.factgrid.de/wiki/Item:Q346266,
650,BETA geoid 1541,GEOGRAPHY*TYPE*P,Sevilla (provincia),,
651,BETA geoid 1542,GEOGRAPHY*TYPE*T,Renera,,
652,BETA geoid 1543,GEOGRAPHY*TYPE*T,Pastrana,https://www.wikidata.org/wiki/Q1655081,
653,BETA geoid 1544,GEOGRAPHY*TYPE*T,Zorita de los Canes,,
654,BETA geoid 1545,GEOGRAPHY*TYPE*T,Sepúlveda,,
655,BETA geoid 1546,GEOGRAPHY*TYPE*T,Béjar,,
656,BETA geoid 1547,GEOGRAPHY*TYPE*T,Iznatoraf,,
657,BETA geoid 1548,GEOGRAPHY*TYPE*P,Jaén (provincia),,
658,BETA geoid 1549,GEOGRAPHY*TYPE*T,Villaescusa de Haro,https://www.wikidata.org/wiki/Q1767516,
659,BETA geoid 1549,,,https://es.wikipedia.org/wiki/Villaescusa_de_Haro,
660,BETA geoid 1550,GEOGRAPHY*TYPE*T,Baza,,
661,BETA geoid 1551,GEOGRAPHY*TYPE*T,Viguera,,
662,BETA geoid 1552,GEOGRAPHY*TYPE*CA,La Rioja (comunidad autónoma),,
663,BETA geoid 1553,GEOGRAPHY*TYPE*T,Funes,,
664,BETA geoid 1555,GEOGRAPHY*TYPE*T,Tudela,,
665,BETA geoid 1556,GEOGRAPHY*TYPE*R,Sobrarbe (región),https://www.wikidata.org/wiki/Q1340288,
667,BETA geoid 1556,,,https://es.wikipedia.org/wiki/Sobrarbe,
668,BETA geoid 1557,GEOGRAPHY*TYPE*T,Usagre,,
669,BETA geoid 1558,GEOGRAPHY*TYPE*T,Consuegra,,
670,BETA geoid 1559,GEOGRAPHY*TYPE*T,Fuentes de los Oteros,,
671,BETA geoid 1560,GEOGRAPHY*TYPE*P,León (provincia),,
672,BETA geoid 1561,GEOGRAPHY*TYPE*T,Fuentes de la Alcarria,,
673,BETA geoid 1562,GEOGRAPHY*TYPE*T,Jaca,,
674,BETA geoid 1563,GEOGRAPHY*TYPE*P,Huesca (provincia),,
675,BETA geoid 1564,GEOGRAPHY*TYPE*B,Puente de Órbigo (campo de batalla),,
676,BETA geoid 1565,GEOGRAPHY*TYPE*C,Lemos,https://www.wikidata.org/wiki/Q8349573,
678,BETA geoid 1565,,,https://es.wikipedia.org/wiki/Monforte_de_Lemos,
679,BETA geoid 1566,GEOGRAPHY*TYPE*T,Tortosa,,
680,BETA geoid 1567,GEOGRAPHY*TYPE*T,Girona,,
681,BETA geoid 1568,GEOGRAPHY*TYPE*E,Imperio romano (imperio),https://www.wikidata.org/wiki/Q2277,
683,BETA geoid 1568,,,https://es.wikipedia.org/wiki/Imperio_romano,
682,BETA geoid 1568,,,https://database.factgrid.de/wiki/Item:Q780045,
684,BETA geoid 1569,GEOGRAPHY*TYPE*K,Troya (reino),,
685,BETA geoid 1570,GEOGRAPHY*TYPE*I,Ischia (isla),,
686,BETA geoid 1571,GEOGRAPHY*TYPE*EN,Castilnovo (encomienda),,
687,BETA geoid 1572,GEOGRAPHY*TYPE*T,Tarragona,,
688,BETA geoid 1573,GEOGRAPHY*TYPE*P,Palencia (provincia),,
689,BETA geoid 1574,GEOGRAPHY*TYPE*T,Segura de la Sierra,https://es.wikipedia.org/wiki/Segura_de_la_Sierra,
690,BETA geoid 1575,GEOGRAPHY*TYPE*T,Montizón,,
691,BETA geoid 1576,GEOGRAPHY*TYPE*T,Sabiote,,
692,BETA geoid 1578,GEOGRAPHY*TYPE*T,Ciudad Real,,
693,BETA geoid 1579,GEOGRAPHY*TYPE*T,Santa María del Campo,https://www.wikidata.org/wiki/Q1648624,
694,BETA geoid 1580,GEOGRAPHY*TYPE*T,Clamosa,,
695,BETA geoid 1581,GEOGRAPHY*TYPE*T,Sietamo,,
696,BETA geoid 1582,GEOGRAPHY*TYPE*T,Villamartín de Sotoscueva,http://es.wikipedia.org/wiki/Villamart%C3%ADn_de_Sotoscueva,
697,BETA geoid 1583,GEOGRAPHY*TYPE*T,Montalvo,,
698,BETA geoid 1584,GEOGRAPHY*TYPE*C,Buelna (condado),https://www.wikidata.org/wiki/Q5781398,
699,BETA geoid 1584,,,https://es.wikipedia.org/wiki/Condado_de_Buelna,
700,BETA geoid 1585,GEOGRAPHY*TYPE*T,Medellín,https://www.wikidata.org/wiki/Q668384,
701,BETA geoid 1585,,,https://es.wikipedia.org/wiki/Medell%C3%ADn_(Espa%C3%B1a),
702,BETA geoid 1586,GEOGRAPHY*TYPE*K,Danmark (reino),,
703,BETA geoid 1587,GEOGRAPHY*TYPE*T,Rio de Janeiro,,
704,BETA geoid 1588,GEOGRAPHY*TYPE*T,Greenwich,,
705,BETA geoid 1589,GEOGRAPHY*TYPE*T,Savona,,
706,BETA geoid 1590,GEOGRAPHY*TYPE*T,Oliva,https://www.wikidata.org/wiki/Q918586,
707,BETA geoid 1590,,,https://es.wikipedia.org/wiki/Oliva_(Valencia),
708,BETA geoid 1591,GEOGRAPHY*TYPE*T,Játiva,,
709,BETA geoid 1592,GEOGRAPHY*TYPE*T,Covarrubias,,
710,BETA geoid 1593,GEOGRAPHY*TYPE*T,Tabaneros,,
711,BETA geoid 1594,GEOGRAPHY*TYPE*T,Túnez,https://es.wikipedia.org/wiki/T%C3%BAnez_(ciudad),
712,BETA geoid 1595,GEOGRAPHY*TYPE*R,Anjou (región),https://www.wikidata.org/wiki/Q107426,
713,BETA geoid 1595,,,https://es.wikipedia.org/wiki/Ducado_de_Anjou,
714,BETA geoid 1596,GEOGRAPHY*TYPE*T,Peraleja,,
715,BETA geoid 1597,GEOGRAPHY*TYPE*T,Puebla de Montalbán,https://www.wikidata.org/wiki/Q537779,
716,BETA geoid 1597,,,https://es.wikipedia.org/wiki/La_Puebla_de_Montalb%C3%A1n,
717,BETA geoid 1598,GEOGRAPHY*TYPE*T,Caspe,,
718,BETA geoid 1599,GEOGRAPHY*TYPE*H,Iznajar (vizcondado),,
719,BETA geoid 1600,GEOGRAPHY*TYPE*T,Baena,https://www.wikidata.org/wiki/Q854403,
720,BETA geoid 1600,,,https://es.wikipedia.org/wiki/Ducado_de_Baena,
721,BETA geoid 1601,GEOGRAPHY*TYPE*T,Reina,,
722,BETA geoid 1602,GEOGRAPHY*TYPE*A,Canterbury (archidiócesis),,
723,BETA geoid 1603,GEOGRAPHY*TYPE*T,Villarino,,
724,BETA geoid 1604,GEOGRAPHY*TYPE*T,Los Palacios,,
725,BETA geoid 1605,GEOGRAPHY*TYPE*T,Santo Domingo de la Calzada,http://en.wikipedia.org/wiki/Santo_Domingo_de_la_Calzada,
726,BETA geoid 1606,GEOGRAPHY*TYPE*T,Villarrobledo,,
727,BETA geoid 1607,GEOGRAPHY*TYPE*P,Albacete (provincia),,
728,BETA geoid 1608,GEOGRAPHY*TYPE*R,América (región),,
729,BETA geoid 1609,GEOGRAPHY*TYPE*M,Gibraltar (marquesado),,
730,BETA geoid 1610,GEOGRAPHY*TYPE*T,Ureña,https://www.wikidata.org/wiki/Q609581,
732,BETA geoid 1610,,,http://es.wikipedia.org/wiki/Condado_de_UreC3%B1a,
733,BETA geoid 1611,GEOGRAPHY*TYPE*C,Trastámara (condado),https://www.wikidata.org/wiki/Q1541432,
734,BETA geoid 1611,,,https://es.wikipedia.org/wiki/Condado_de_Trast%C3%A1mara,
735,BETA geoid 1612,GEOGRAPHY*TYPE*T,Évora,,
736,BETA geoid 1613,GEOGRAPHY*TYPE*T,Ferentino,,
737,BETA geoid 1614,GEOGRAPHY*TYPE*T,Cádiz,,
738,BETA geoid 1615,GEOGRAPHY*TYPE*T,Alcor,,
739,BETA geoid 1616,GEOGRAPHY*TYPE*U,Terranova (ducado),https://www.wikidata.org/wiki/Q5814768,
740,BETA geoid 1616,,,https://es.wikipedia.org/wiki/Ducado_de_Terranova,
741,BETA geoid 1617,GEOGRAPHY*TYPE*J,Castel Sant’Angelo (castillo),https://www.wikidata.org/wiki/Q486382,
742,BETA geoid 1617,,,https://es.wikipedia.org/wiki/Castillo_de_Sant%27Angelo,
743,BETA geoid 1618,GEOGRAPHY*TYPE*T,Antwerpen,,
744,BETA geoid 1619,GEOGRAPHY*TYPE*T,Morante,,
745,BETA geoid 1620,GEOGRAPHY*TYPE*T,Alfarrobeira,,
746,BETA geoid 1621,GEOGRAPHY*TYPE*T,Alhama,,
747,BETA geoid 1622,GEOGRAPHY*TYPE*D,Céfalu (diócesis),,
748,BETA geoid 1623,GEOGRAPHY*TYPE*T,Abrantes,https://www.wikidata.org/wiki/Q331191,
749,BETA geoid 1623,,,https://pt.wikipedia.org/wiki/Abrantes,
750,BETA geoid 1624,GEOGRAPHY*TYPE*C,Flandres (condado),https://www.wikidata.org/wiki/Q157070,
751,BETA geoid 1624,,,https://es.wikipedia.org/wiki/Condado_de_Flandes,
752,BETA geoid 1625,GEOGRAPHY*TYPE*T,Monforte de Lemos,,
753,BETA geoid 1626,GEOGRAPHY*TYPE*T,Santa Olaya,,
754,BETA geoid 1627,GEOGRAPHY*TYPE*T,Ampudia,,
756,BETA geoid 1628,GEOGRAPHY*TYPE*T,Segorbe,https://www.wikidata.org/wiki/Q8770884,
757,BETA geoid 1628,,,https://es.wikipedia.org/wiki/Ducado_de_Segorbe,
758,BETA geoid 1629,GEOGRAPHY*TYPE*D,Osma-Soria (diócesis),,
759,BETA geoid 1630,GEOGRAPHY*TYPE*R,Valentinois (región),https://www.wikidata.org/wiki/Q335108,
760,BETA geoid 1631,GEOGRAPHY*TYPE*T,Vila Nova,https://www.wikidata.org/wiki/Q543542,
761,BETA geoid 1631,,,https://pt.wikipedia.org/wiki/Portim%C3%A3o,
763,BETA geoid 1634,GEOGRAPHY*TYPE*T,Vimioso,https://www.wikidata.org/wiki/Q551649,
764,BETA geoid 1634,,,https://es.wikipedia.org/wiki/Condado_de_Vimioso,
765,BETA geoid 1635,GEOGRAPHY*TYPE*T,Ceuta,,
766,BETA geoid 1636,GEOGRAPHY*TYPE*T,Salinas,https://database.factgrid.de/wiki/Item:Q353607,
767,BETA geoid 1637,GEOGRAPHY*TYPE*T,Balcarres,,
768,BETA geoid 1638,GEOGRAPHY*TYPE*K,Scotland (reino),,
769,BETA geoid 1639,GEOGRAPHY*TYPE*U,Saxe-Coburg-Gotha (ducado),https://www.wikidata.org/wiki/Q3462133,
770,BETA geoid 1639,,,https://es.wikipedia.org/wiki/Ducado_de_Sajonia-Coburgo_y_Gotha,
771,BETA geoid 1640,GEOGRAPHY*TYPE*R,Grecia (región),,
772,BETA geoid 1641,GEOGRAPHY*TYPE*T,Noreña,https://www.wikidata.org/wiki/Q816255,
773,BETA geoid 1641,,,https://es.wikipedia.org/wiki/NoreC3%B1a,
774,BETA geoid 1642,GEOGRAPHY*TYPE*T,Nájera,https://www.wikidata.org/wiki/Q776113,
775,BETA geoid 1643,GEOGRAPHY*TYPE*T,Morata de Jalón,,
776,BETA geoid 1644,GEOGRAPHY*TYPE*P,Zaragoza (provincia),,
777,BETA geoid 1645,GEOGRAPHY*TYPE*T,Gotor,,
778,BETA geoid 1646,GEOGRAPHY*TYPE*T,Castelló de la Plana,,
779,BETA geoid 1647,GEOGRAPHY*TYPE*T,Mediana,,
780,BETA geoid 1648,GEOGRAPHY*TYPE*T,Arjona,http://es.wikipedia.org/wiki/Arjona,
781,BETA geoid 1649,GEOGRAPHY*TYPE*T,Valcorneja,,
782,BETA geoid 1650,GEOGRAPHY*TYPE*P,Pontevedra (provincia),,
783,BETA geoid 1651,GEOGRAPHY*TYPE*T,Muros,,
784,BETA geoid 1652,GEOGRAPHY*TYPE*P,A Coruña (provincia),,
785,BETA geoid 1653,GEOGRAPHY*TYPE*CA,Andalucía (comunidad autónoma),,
786,BETA geoid 1654,GEOGRAPHY*TYPE*P,Baixo Alentejo (provincia),https://www.wikidata.org/wiki/Q788653,
787,BETA geoid 1655,GEOGRAPHY*TYPE*T,Beja,https://www.wikidata.org/wiki/Q213251,
788,BETA geoid 1656,GEOGRAPHY*TYPE*T,Tarascon,,
789,BETA geoid 1657,GEOGRAPHY*TYPE*T,Noya,,
790,BETA geoid 1658,GEOGRAPHY*TYPE*T,Carmona,,
791,BETA geoid 1659,GEOGRAPHY*TYPE*I,Santo Domingo (isla),,
792,BETA geoid 1660,GEOGRAPHY*TYPE*T,Lugo,,
793,BETA geoid 1661,GEOGRAPHY*TYPE*T,Badajoz,https://database.factgrid.de/wiki/Item:Q82644,
794,BETA geoid 1662,GEOGRAPHY*TYPE*P,Álava (provincia),,
795,BETA geoid 1663,GEOGRAPHY*TYPE*CA,País Vasco (comunidad autónoma),,
796,BETA geoid 1664,GEOGRAPHY*TYPE*CA,Islas Baleares (comunidad autónoma),,
797,BETA geoid 1665,GEOGRAPHY*TYPE*P,Alacant (provincia),https://www.wikidata.org/wiki/Q54936,
798,BETA geoid 1665,,,https://database.factgrid.de/wiki/Item:Q343627,
799,BETA geoid 1666,GEOGRAPHY*TYPE*P,Barcelona (provincia),,
800,BETA geoid 1667,GEOGRAPHY*TYPE*P,Cádiz (provincia),,
801,BETA geoid 1668,GEOGRAPHY*TYPE*P,Castelló (provincia),https://www.wikidata.org/wiki/Q54942,
802,BETA geoid 1669,GEOGRAPHY*TYPE*P,Ciudad Real (provincia),,
803,BETA geoid 1670,GEOGRAPHY*TYPE*P,Girona (provincia),,
804,BETA geoid 1671,GEOGRAPHY*TYPE*P,Huelva (provincia),,
805,BETA geoid 1672,GEOGRAPHY*TYPE*T,Huelva,,
806,BETA geoid 1673,GEOGRAPHY*TYPE*P,Lleida (provincia),,
807,BETA geoid 1674,GEOGRAPHY*TYPE*P,Logroño (provincia),,
808,BETA geoid 1675,GEOGRAPHY*TYPE*P,Lugo (provincia),,
809,BETA geoid 1676,GEOGRAPHY*TYPE*P,Málaga (provincia),,
810,BETA geoid 1677,GEOGRAPHY*TYPE*P,Ourense (provincia),,
811,BETA geoid 1678,GEOGRAPHY*TYPE*P,Oviedo (provincia),https://www.wikidata.org/wiki/Q95006,
812,BETA geoid 1678,,,https://es.wikipedia.org/wiki/Provincia_de_Oviedo,
813,BETA geoid 1679,GEOGRAPHY*TYPE*P,Soria (provincia),,
814,BETA geoid 1680,GEOGRAPHY*TYPE*P,Tarragona (provincia),,
815,BETA geoid 1681,GEOGRAPHY*TYPE*P,Teruel (provincia),,
816,BETA geoid 1682,GEOGRAPHY*TYPE*P,Vizcaya (provincia),,
817,BETA geoid 1683,GEOGRAPHY*TYPE*P,Zamora (provincia),,
818,BETA geoid 1684,GEOGRAPHY*TYPE*T,Albacete,,
819,BETA geoid 1685,GEOGRAPHY*TYPE*T,Alacant,,
820,BETA geoid 1686,GEOGRAPHY*TYPE*P,Almería (provincia),,
821,BETA geoid 1687,GEOGRAPHY*TYPE*T,Almería,,
822,BETA geoid 1688,GEOGRAPHY*TYPE*P,Córdoba (provincia),,
823,BETA geoid 1689,GEOGRAPHY*TYPE*T,Santander,,
824,BETA geoid 1690,GEOGRAPHY*TYPE*T,Ventimiglia,,
825,BETA geoid 1691,GEOGRAPHY*TYPE*T,Búbal,,
826,BETA geoid 1692,GEOGRAPHY*TYPE*T,Caminha,https://www.wikidata.org/wiki/Q1029544,
827,BETA geoid 1692,,,https://pt.wikipedia.org/wiki/Caminha,
829,BETA geoid 1694,GEOGRAPHY*TYPE*T,Vigo,,
830,BETA geoid 1695,GEOGRAPHY*TYPE*T,Écija,,
831,BETA geoid 1696,GEOGRAPHY*TYPE*J,Alba de Liste (castillo),https://es.wikipedia.org/wiki/Castillo_de_Alba_de_Aliste,
832,BETA geoid 1697,GEOGRAPHY*TYPE*T,Fuentidueña,,
833,BETA geoid 1698,GEOGRAPHY*TYPE*T,Loja,,
834,BETA geoid 1699,GEOGRAPHY*TYPE*N,Roma (República) (nación),,
835,BETA geoid 1700,GEOGRAPHY*TYPE*T,Mondragón,,
836,BETA geoid 1701,GEOGRAPHY*TYPE*T,Perpignan,,
837,BETA geoid 1702,,,https://www.wikidata.org/wiki/Q6000986,
838,BETA geoid 1702,GEOGRAPHY*TYPE*T,Santa Cruz,https://es.wikipedia.org/wiki/Santa_Cruz_de_Mudela,
839,BETA geoid 1703,GEOGRAPHY*TYPE*T,Ayala,,
840,BETA geoid 1704,GEOGRAPHY*TYPE*T,Salvatierra,https://www.wikidata.org/wiki/Q398698,
841,BETA geoid 1704,,,http://es.wikipedia.org/wiki/Salvatierra_(%C3%81lava),
842,BETA geoid 1705,GEOGRAPHY*TYPE*R,Guipúzcoa (región),,
843,BETA geoid 1706,GEOGRAPHY*TYPE*T,Valencia de Don Juan,https://www.wikidata.org/wiki/Q385017,
844,BETA geoid 1707,GEOGRAPHY*TYPE*K,Marruecos (reino),,
845,BETA geoid 1708,GEOGRAPHY*TYPE*B,Salado (campo de batalla),,
846,BETA geoid 1709,GEOGRAPHY*TYPE*T,Siyilmasa,https://www.wikidata.org/wiki/Q1334331,
847,BETA geoid 1710,GEOGRAPHY*TYPE*T,Tobarriela,,
848,BETA geoid 1711,GEOGRAPHY*TYPE*T,Numancia,,
849,BETA geoid 1712,GEOGRAPHY*TYPE*T,Tablada,,
850,BETA geoid 1713,GEOGRAPHY*TYPE*T,Dueñas,,
851,BETA geoid 1715,GEOGRAPHY*TYPE*T,Città Sant’Angelo,https://www.wikidata.org/wiki/Q51356,
852,BETA geoid 1715,,,https://it.wikipedia.org/wiki/Citt%C3%A0_Sant%27Angelo,
854,BETA geoid 1715,,,https://es.wikipedia.org/wiki/Ducado_de_Sant%C3%A1ngelo,
855,BETA geoid 1716,GEOGRAPHY*TYPE*T,Praha,,
856,BETA geoid 1717,GEOGRAPHY*TYPE*A,Toledo (archidiócesis),https://database.factgrid.de/wiki/Item:Q254492,
857,BETA geoid 1718,GEOGRAPHY*TYPE*A,Sevilla (archidiócesis),,
858,BETA geoid 1719,GEOGRAPHY*TYPE*T,Cañete,,
859,BETA geoid 1720,GEOGRAPHY*TYPE*T,Gandul,,
860,BETA geoid 1721,GEOGRAPHY*TYPE*T,Marchenilla,,
861,BETA geoid 1722,GEOGRAPHY*TYPE*T,Amézqueta,https://es.wikipedia.org/wiki/Am%C3%A9zqueta,
862,BETA geoid 1723,GEOGRAPHY*TYPE*B,Bosworth Field (campo de batalla),,
863,BETA geoid 1724,GEOGRAPHY*TYPE*T,Balaguer,,
864,BETA geoid 1725,,"Gibraltar, estrecho de",,
865,BETA geoid 1726,GEOGRAPHY*TYPE*T,Ronda,,
866,BETA geoid 1727,GEOGRAPHY*TYPE*T,Villalón,,
867,BETA geoid 1728,GEOGRAPHY*TYPE*D,Segovia (diócesis),,
868,BETA geoid 1729,GEOGRAPHY*TYPE*T,Mons,,
869,BETA geoid 1730,GEOGRAPHY*TYPE*T,Palma de Mallorca,,
870,BETA geoid 1732,GEOGRAPHY*TYPE*T,Villarejo de Fuentes,,
871,BETA geoid 1733,GEOGRAPHY*TYPE*T,Alenquer,https://www.wikidata.org/wiki/Q988830,
872,BETA geoid 1734,GEOGRAPHY*TYPE*C,Osona (condado),https://www.wikidata.org/wiki/Q1541779,
873,BETA geoid 1734,,,https://es.wikipedia.org/wiki/Condado_de_Osona,
874,BETA geoid 1735,GEOGRAPHY*TYPE*T,Aliaga,https://www.wikidata.org/wiki/Q771314,
875,BETA geoid 1736,GEOGRAPHY*TYPE*T,Villasandino,,
876,BETA geoid 1737,GEOGRAPHY*TYPE*T,Huéscar,https://www.wikidata.org/wiki/Q575709,
877,BETA geoid 1738,GEOGRAPHY*TYPE*T,Melgar,https://www.wikidata.org/wiki/Q5781769,
878,BETA geoid 1738,,,https://es.wikipedia.org/wiki/Condado_de_Melgar,
879,BETA geoid 1739,GEOGRAPHY*TYPE*T,Medina de Rioseco,,
880,BETA geoid 1740,GEOGRAPHY*TYPE*T,Módica,,
881,BETA geoid 1741,GEOGRAPHY*TYPE*J,Cabrera (castillo),https://www.wikidata.org/wiki/Q4895050,
882,BETA geoid 1741,,,https://es.wikipedia.org/wiki/Vizcondado_de_Cabrera,
883,BETA geoid 1742,GEOGRAPHY*TYPE*D,Sigüenza (diócesis),,
884,BETA geoid 1743,GEOGRAPHY*TYPE*T,Antequera,,
885,BETA geoid 1744,GEOGRAPHY*TYPE*T,Orléans,https://www.wikidata.org/wiki/Q6548,
886,BETA geoid 1744,,,https://es.wikipedia.org/wiki/Ducado_de_Orleans,
887,BETA geoid 1745,GEOGRAPHY*TYPE*T,Igualada,,
888,BETA geoid 1746,GEOGRAPHY*TYPE*C,Ampurias (condado),https://www.wikidata.org/wiki/Q1541699,
889,BETA geoid 1746,,,https://es.wikipedia.org/wiki/Condado_de_Ampurias,
890,BETA geoid 1747,GEOGRAPHY*TYPE*T,Lara,,
891,BETA geoid 1748,GEOGRAPHY*TYPE*T,Colliure,,
892,BETA geoid 1749,GEOGRAPHY*TYPE*T,Castell de Borriac,,
893,BETA geoid 1750,GEOGRAPHY*TYPE*K,Mallorca (reino),,
894,BETA geoid 1751,GEOGRAPHY*TYPE*T,Manchester,,
895,BETA geoid 1752,GEOGRAPHY*TYPE*T,Cheltenham,,
896,BETA geoid 1753,GEOGRAPHY*TYPE*D,Salamanca (diócesis),,
897,BETA geoid 1754,GEOGRAPHY*TYPE*A,Caesarea (archidiócesis),,
898,BETA geoid 1755,GEOGRAPHY*TYPE*G,Parroquia de San Mateo (parroquia),https://database.factgrid.de/wiki/Item:Q780138,
899,BETA geoid 1756,GEOGRAPHY*TYPE*T,Gerson-lès-Barby,,
900,BETA geoid 1757,GEOGRAPHY*TYPE*T,Cremona,,
901,BETA geoid 1758,GEOGRAPHY*TYPE*T,Lascuarre,,
902,BETA geoid 1759,GEOGRAPHY*TYPE*T,Quinto de Ebro,http://www.aragob.es/elocales/quinto/historia/historia_baronia.htm,
903,BETA geoid 1760,GEOGRAPHY*TYPE*T,La Rocha,https://en.wikipedia.org/wiki/La_Roque-d%27Anth%C3%A9ron,
904,BETA geoid 1761,GEOGRAPHY*TYPE*T,Oyarzun,,
905,BETA geoid 1762,GEOGRAPHY*TYPE*T,Perelada,https://www.wikidata.org/wiki/Q11803,
906,BETA geoid 1763,GEOGRAPHY*TYPE*T,Zavellá,https://www.wikidata.org/wiki/Q739975,
907,BETA geoid 1763,,,https://es.wikipedia.org/wiki/Condado_de_Zavell%C3%A1,
909,BETA geoid 1764,GEOGRAPHY*TYPE*T,Sallent de Llobregat,https://database.factgrid.de/wiki/Item:Q353617,
910,BETA geoid 1765,GEOGRAPHY*TYPE*Y,Wales (principado),,
911,BETA geoid 1766,GEOGRAPHY*TYPE*N,Magyarország (nación),,
912,BETA geoid 1767,GEOGRAPHY*TYPE*T,Mallorcas,,
913,BETA geoid 1768,GEOGRAPHY*TYPE*T,El Pardo,,
914,BETA geoid 1769,GEOGRAPHY*TYPE*T,Grimaldo,https://dbe.rah.es/biografias/14710/jose-grimaldo-y-gutierrez-de-solorzano,
915,BETA geoid 1770,GEOGRAPHY*TYPE*V,Nueva Granada (virreinato),https://www.wikidata.org/wiki/Q8965,
917,BETA geoid 1770,,,https://es.wikipedia.org/wiki/Virreinato_de_Nueva_Granada,
916,BETA geoid 1770,,,https://database.factgrid.de/wiki/Item:Q780136,
918,BETA geoid 1771,GEOGRAPHY*TYPE*T,La Regalía,,
919,BETA geoid 1772,GEOGRAPHY*TYPE*T,Villamediana,https://www.wikidata.org/wiki/Q521159,
920,BETA geoid 1773,GEOGRAPHY*TYPE*T,Campo Real,https://www.wikidata.org/wiki/Q1999732,
921,BETA geoid 1774,GEOGRAPHY*TYPE*T,Los Arcos,https://www.wikidata.org/wiki/Q742713,
923,BETA geoid 1774,,,https://es.wikipedia.org/wiki/Condado_de_los_Arcos,
924,BETA geoid 1775,GEOGRAPHY*TYPE*C,Vistahermosa (condado),https://es.wikipedia.org/wiki/Ducado_de_Vistahermosa,
925,BETA geoid 1776,GEOGRAPHY*TYPE*T,San Martín de Muñatones,https://www.wikidata.org/wiki/Q12263970,
926,BETA geoid 1777,GEOGRAPHY*TYPE*T,San Julián de Musques,,
927,BETA geoid 1778,GEOGRAPHY*TYPE*T,Portugalete,,
928,BETA geoid 1779,GEOGRAPHY*TYPE*T,Torrellas,https://www.wikidata.org/wiki/Q1650599,
929,BETA geoid 1779,,,https://es.wikipedia.org/wiki/Torrellas_(Zaragoza),
930,BETA geoid 1780,GEOGRAPHY*TYPE*T,Elorrio,,
931,BETA geoid 1781,GEOGRAPHY*TYPE*T,Butrón,,
932,BETA geoid 1782,GEOGRAPHY*TYPE*T,Mújica,https://www.wikidata.org/wiki/Q664870,
,BETA geoid 1782,,,https://es.wikipedia.org/wiki/M%C3%BAgica_(Espa%C3%B1a),
933,BETA geoid 1783,GEOGRAPHY*TYPE*T,Aramayona,https://www.wikidata.org/wiki/Q976743,
934,BETA geoid 1784,GEOGRAPHY*TYPE*VA,Somorrostro (valle),https://www.wikidata.org/wiki/Q3025757,
935,BETA geoid 1784,,,https://database.factgrid.de/wiki/Item:Q780037,
936,BETA geoid 1785,GEOGRAPHY*TYPE*T,San Martín de Somorrostro,,
937,BETA geoid 1786,GEOGRAPHY*TYPE*T,Salazar,,
938,BETA geoid 1787,GEOGRAPHY*TYPE*T,Cerca,,
939,BETA geoid 1788,GEOGRAPHY*TYPE*T,Calderón,,
940,BETA geoid 1789,GEOGRAPHY*TYPE*T,Bárcena,,
941,BETA geoid 1790,GEOGRAPHY*TYPE*T,Jimena,https://www.wikidata.org/wiki/Q1657521,
942,BETA geoid 1791,GEOGRAPHY*TYPE*T,Castro Urdiales,,
943,BETA geoid 1792,GEOGRAPHY*TYPE*T,Beire,,
